Site Address,Page Count,Page Count %,Unique Page Count,Unique Page Count %
revenue,546663,25.05%,269109,17.96%
opa,341064,15.63%,267183,17.83%
homepage,293465,13.45%,214175,14.29%
health,62529,2.87%,47657,3.18%
li,62361,2.86%,42222,2.82%
brt,62268,2.85%,51340,3.43%
records,50446,2.31%,32982,2.20%
prisons,39019,1.79%,29045,1.94%
residents,38887,1.78%,29431,1.96%
parksandrecreation,38112,1.75%,29059,1.94%
maps,37699,1.73%,28693,1.91%
districtattorney,23851,1.09%,18575,1.24%
waterrev,21563,0.99%,17472,1.17%
topics,21182,0.97%,15714,1.05%
